Id,Name,Platform,Year,Genre,Publisher,Rank,Difficulty,Ign_score,NA_Sales,EU_Sales,JP_Sales,Other_Sales
6101,The Punisher,XB,2005,Action,THQ,6101,nan,nan,0.22,0.06,0,0.01
6102,MLB Pennant Race,PS,1996,Sports,Sony Computer Entertainment,6102,nan,9,0.16,0.11,0,0.02
6103,Transformers: Dark of the Moon,X360,2011,Action,Activision,6103,4,nan,0.13,0.13,0,0.03
6104,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,6104,nan,nan,0,0,0.29,0
6105,GRID 2,X360,2013,Racing,Codemasters,6105,nan,nan,0.08,0.17,0,0.03
6106,WWII Aces,Wii,2008,Simulation,Destineer,6106,nan,1,0.27,0,0,0.02
6107,Puzzle Quest: Challenge of the Warlords,Wii,2007,Puzzle,D3Publisher,6107,nan,nan,0.26,0,0,0.02
6108,Shrek Super Party,PS2,2002,Misc,TDK Mediactive,6108,nan,nan,0.14,0.11,0,0.04
6109,"Sakura Wars 4: Koi Seyo,Otome",DC,2002,Adventure,Sega,6109,1,nan,0,0,0.29,0
6110,"Sakura Wars: So Long, My Love",PS2,2005,Role-Playing,Sega,6110,nan,nan,0.07,0.05,0.15,0.02
6111,Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,6111,nan,0,0.06,0.05,0.16,0.02
6112,The Urbz: Sims In the City (US weekly sales),DS,2004,Simulation,Electronic Arts,6112,nan,6,0.27,0,0,0.02
6113,Lightning Returns: Final Fantasy XIII,X360,2013,Role-Playing,Square Enix,6113,nan,1,0.15,0.1,0.01,0.02
6114,Feel the Magic XY/XX,DS,2004,Puzzle,Sega,6114,7,nan,0.17,0,0.1,0.02
6115,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,6115,3,nan,0.12,0.12,0,0.05
6116,Neopets Puzzle Adventure,DS,2008,Puzzle,Capcom,6116,nan,nan,0.26,0,0,0.02
6117,Sonic & All-Stars Racing Transformed,3DS,2012,Racing,Sega,6117,nan,nan,0.12,0.15,0,0.02
6118,Shrek the Third,Wii,2007,Action,Activision,6118,nan,nan,0.26,0.01,0,0.02
6119,Snowboarding,PS,2000,Sports,Midas Interactive Entertainment,6119,3,nan,0.16,0.11,0,0.02
6120,Purr Pals,Wii,2008,Simulation,Deep Silver,6120,nan,6,0.27,0,0,0.02
6121,Dragon Ball Heroes: Ultimate Mission,3DS,2013,Misc,Namco Bandai Games,6121,nan,nan,0,0,0.29,0
6122,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,6122,nan,nan,0.11,0.15,0,0.03
6123,Surf's Up,PS2,2007,Sports,Ubisoft,6123,nan,nan,0.14,0.11,0,0.04
6124,BlazBlue: Chrono Phantasma,PS3,2013,Fighting,Arc System Works,6124,nan,nan,0.13,0,0.14,0.02
6125,Looney Tunes Racing,PS,2000,Racing,Infogrames,6125,nan,nan,0.16,0.11,0,0.02
6126,Final Fantasy X-2: International + Last Mission,PS2,2004,Role-Playing,Square Enix,6126,nan,nan,0,0,0.29,0
6127,Namco Museum Vol.2,PS,1996,Misc,Sony Computer Entertainment,6127,nan,nan,0.03,0.02,0.21,0.02
6128,Rayman 3: Hoodlum Havoc,PS2,2003,Platform,Ubisoft,6128,nan,nan,0.14,0.11,0,0.04
6129,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,2008,Adventure,Konami Digital Entertainment,6129,nan,nan,0,0,0.29,0
6130,Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,Midway Games,6130,nan,nan,0.14,0.11,0,0.04
6131,I Spy: Spooky Mansion,Wii,2010,Puzzle,Storm City Games,6131,nan,nan,0.27,0,0,0.02
6132,Australian Assault of Fury,nan,nan,nan,nan,6132,nan,nan,nan,nan,nan,nan
6133,Tomba! 2: The Evil Swine Return,PS,1999,Platform,Sony Computer Entertainment,6133,nan,nan,0.16,0.11,0,0.02
6134,SAW,X360,2009,Action,Konami Digital Entertainment,6134,nan,3,0.13,0.12,0,0.03
6135,Wappy Dog,DS,2011,Simulation,Activision,6135,nan,nan,0.27,0,0,0.02
6136,Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006,Role-Playing,Square Enix,6136,nan,nan,0,0,0.29,0
6137,BeatMania Append 4thMix: The beat goes on,PS,1999,Simulation,Konami Digital Entertainment,6137,nan,5,0,0,0.27,0.02
6138,NASCAR 08,X360,2007,Racing,Electronic Arts,6138,nan,nan,0.26,0,0,0.02
6139,World of Warcraft: Legion,PC,2016,Role-Playing,Activision,6139,nan,nan,0.14,0.12,0,0.02
6140,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,6140,nan,nan,0,0,0.29,0
6141,Power Pro Kun Pocket 11,DS,2008,Sports,Konami Digital Entertainment,6141,nan,6,0,0,0.29,0
6142,El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,6142,nan,nan,0.11,0.07,0.08,0.03
6143,Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,6143,4,10,0.12,0.12,0,0.05
6144,Spyro: A Hero's Tail,GC,2004,Platform,Vivendi Games,6144,nan,nan,0.22,0.06,0,0.01
6145,Warriors Orochi 2,PSP,2008,Action,Tecmo Koei,6145,nan,nan,0.06,0,0.22,0.01
6146,Ratatouille: Food Frenzy,DS,2007,Puzzle,THQ,6146,10,nan,0.26,0,0,0.02
6147,Links 2004,XB,2003,Sports,Microsoft Game Studios,6147,nan,7,0.21,0.06,0,0.01
6148,PGA Tour 97,PS,1996,Sports,Electronic Arts,6148,nan,7,0.16,0.11,0,0.02
6149,Bratz: Super Babyz,DS,2008,Action,THQ,6149,nan,nan,0.26,0,0,0.02
6150,Battle & Get! Pokemon Typing DS,DS,2011,Misc,Nintendo,6150,nan,nan,0,0,0.29,0
6151,Kung Zhu,DS,2010,Action,Activision,6151,nan,nan,0.26,0,0,0.02
6152,Earthworm Jim,GBA,2001,Platform,Interplay,6152,nan,7,0.2,0.08,0,0.01
6153,Tales of Phantasia,GBA,2003,Role-Playing,Nintendo,6153,6,nan,0.08,0.03,0.17,0.01
6154,The Golden Compass,PS3,2007,Action,Sega,6154,nan,nan,0.14,0.1,0,0.05
6155,F1 Race Stars,X360,2012,Racing,Codemasters,6155,nan,10,0.07,0.18,0,0.03
6156,All Star Cheer Squad,DS,2008,Sports,THQ,6156,nan,nan,0.26,0,0,0.02
6157,Rugby World Cup 2011,X360,2011,Sports,505 Games,6157,nan,nan,0.03,0.21,0,0.04
6158,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,6158,nan,nan,0.11,0.14,0,0.03
6159,Monster 4x4: Masters of Metal,PS2,2003,Racing,Ubisoft,6159,8,nan,0.14,0.11,0,0.04
6160,SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,6160,nan,nan,0.14,0.11,0,0.04
6161,DeathSmiles,X360,2009,Shooter,Rising Star Games,6161,6,nan,0.15,0.06,0.05,0.02
6162,VMX Racing,PS,1997,Racing,Playmates,6162,nan,nan,0.16,0.11,0,0.02
6163,Hot Shots Golf: World Invitational,PS3,2012,Sports,Sony Computer Entertainment,6163,nan,nan,0,0,0.28,0
6164,Disney's Extreme Skate Adventure,GBA,2003,Sports,Activision,6164,nan,nan,0.2,0.08,0,0.01
6165,Dragon Ball GT: Transformation,GBA,2005,Action,Atari,6165,nan,nan,0.2,0.08,0,0.01
6166,Bratz Ponyz,DS,2007,Adventure,Game Factory,6166,nan,0,0.26,0,0,0.02
6167,Super Fire ProWrestling X,SNES,1995,Fighting,Human Entertainment,6167,nan,nan,0,0,0.28,0
6168,Baby Pals,DS,2007,Simulation,THQ,6168,nan,nan,0.26,0.01,0,0.02
6169,International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,6169,nan,nan,0,0,0.28,0
6170,Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,6170,nan,nan,0.15,0.11,0,0.02
6171,Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,6171,nan,nan,0.16,0.11,0,0.02
6172,The Warriors,XB,2005,Action,Take-Two Interactive,6172,nan,nan,0.21,0.06,0,0.01
6173,Monopoly Streets,X360,2010,Misc,Electronic Arts,6173,nan,nan,0.16,0.1,0,0.03
6174,Shadow Hearts,PS2,2001,Role-Playing,Midway Games,6174,nan,nan,0.09,0.07,0.1,0.02
6175,Sexy Unicorn Reloaded,nan,nan,nan,nan,6175,nan,nan,nan,nan,nan,nan
6176,NHL 2K11,Wii,2010,Sports,Take-Two Interactive,6176,nan,nan,0.24,0.02,0,0.02
6177,One Piece: Burning Blood,PS4,2016,Fighting,Namco Bandai Games,6177,nan,nan,0.1,0.08,0.07,0.04
6178,Haven: Call of the King,PS2,N/A,Platform,Midway Games,6178,1,nan,0.14,0.11,0,0.04
6179,Street Hoops,XB,2002,Sports,Activision,6179,nan,nan,0.21,0.06,0,0.01
6180,Yu-Gi-Oh! Double Pack,GBA,2006,Role-Playing,Konami Digital Entertainment,6180,nan,nan,0.2,0.08,0,0.01
6181,X-Men: Reign of Apocalypse,GBA,2001,Action,Activision,6181,nan,nan,0.2,0.08,0,0.01
6182,R: Racing Evolution,PS2,2003,Racing,Namco Bandai Games,6182,7,nan,0.14,0.11,0,0.04
6183,Tony Hawk: Shred,PS3,2010,Sports,Activision,6183,nan,9,0.18,0.07,0,0.04
6184,Netsu Chu! Pro Yakyuu 2003,PS2,2003,Sports,Namco Bandai Games,6184,nan,nan,0,0,0.28,0
6185,ATV Quad Power Racing 2,GC,2003,Racing,Acclaim Entertainment,6185,0,nan,0.22,0.06,0,0.01
6186,Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,6186,nan,nan,0,0,0.28,0
6187,Fantastic 4: Flame On,GBA,2005,Action,Activision,6187,3,nan,0.2,0.08,0,0.01
6188,Siren: Blood Curse,PS3,2008,Action,Sony Computer Entertainment,6188,nan,nan,0,0.17,0.09,0.02
6189,Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,6189,nan,nan,0.01,0.16,0.09,0.03
6190,Chromehounds,X360,2006,Simulation,Sega,6190,nan,nan,0.24,0,0.01,0.02
6191,Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,Electronic Arts,6191,3,nan,0.21,0.06,0,0.01
6192,The King of Fighters '95,SAT,1995,Fighting,SNK Playmore,6192,nan,nan,0,0,0.28,0
6193,Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,Disney Interactive Studios,6193,nan,nan,0.25,0.01,0,0.02
6194,Assassin's Creed II: Discovery,DS,2009,Action,Ubisoft,6194,nan,nan,0.15,0.11,0,0.03
6195,F/A-18F Super Hornet,GBA,2004,Simulation,Majesco Entertainment,6195,nan,8,0.2,0.08,0,0.01
6196,Avatar: The Last Airbender,Wii,2006,Adventure,THQ,6196,nan,nan,0.24,0.02,0,0.02
6197,Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,6197,7,nan,0,0,0.28,0.01
6198,Polaris,2600,1982,Action,Tigervision,6198,1,nan,0.26,0.02,0,0
6199,Viewtiful Joe,PS2,2004,Action,Capcom,6199,nan,nan,0.14,0.11,0,0.04
6200,Triple Play 2000,N64,1999,Sports,Electronic Arts,6200,nan,nan,0.27,0.01,0,0
6201,Beyblade: Metal Masters,DS,2010,Action,Konami Digital Entertainment,6201,6,nan,0.16,0.1,0,0.03
6202,Need for Speed: Most Wanted,WiiU,2013,Racing,Electronic Arts,6202,nan,nan,0.14,0.12,0,0.02
6203,Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,6203,nan,nan,0.16,0.11,0,0.02
6204,Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games,6204,nan,nan,0.1,0.12,0.02,0.05
6205,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,6205,nan,nan,0.14,0.11,0,0.04
6206,Unreal Championship 2: The Liandri Conflict,XB,N/A,Shooter,Midway Games,6206,nan,nan,0.22,0.05,0,0.01
6207,Kung Fu Chaos,XB,2003,Fighting,Microsoft Game Studios,6207,nan,nan,0.21,0.06,0,0.01
6208,Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,6208,nan,nan,0,0,0.28,0
6209,Yu-Gi-Oh! World Championship 2008,DS,2007,Strategy,Konami Digital Entertainment,6209,nan,nan,0.13,0.02,0.12,0.01
6210,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,6210,nan,nan,0.19,0.06,0,0.03
6211,Godzilla: Domination!,GBA,2002,Fighting,Atari,6211,9,nan,0.2,0.07,0,0.01
6212,Sly Cooper: Thieves in Time,PSV,2013,Platform,Sony Computer Entertainment Europe,6212,nan,nan,0.16,0.06,0,0.05
6213,Tales of the World: Radiant Mythology 3,PSP,2011,Role-Playing,Namco Bandai Games,6213,nan,nan,0,0,0.28,0
6214,Famista '92,NES,1991,Sports,Namco Bandai Games,6214,nan,2,0,0,0.28,0
6215,Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,6215,nan,nan,0,0,0.28,0
6216,Jackass the Game,PS2,2007,Action,Empire Interactive,6216,nan,nan,0.14,0.11,0,0.04
6217,Mega Man II,GB,1991,Platform,Nintendo,6217,nan,nan,0,0,0.28,0
6218,Lord of Darkness,SNES,1991,Action,Tecmo Koei,6218,nan,nan,0,0,0.28,0
6219,Hannah Montana: Spotlight World Tour,PS2,2008,Action,Disney Interactive Studios,6219,nan,nan,0.12,0.02,0,0.14
6220,Rocket Power: Beach Bandits,GBA,2002,Platform,THQ,6220,nan,nan,0.2,0.07,0,0.01
6221,Surf's Up,DS,2007,Sports,Ubisoft,6221,nan,nan,0.26,0,0,0.02
6222,Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,6222,nan,nan,0,0.23,0,0.05
6223,MX SuperFly featuring Ricky Carmichael,PS2,2002,Racing,THQ,6223,nan,nan,0.14,0.11,0,0.04
6224,Remington Super Slam Hunting: Africa,Wii,2010,Sports,Mastiff,6224,nan,nan,0.27,0,0,0.02
6225,Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,6225,nan,nan,0.11,0.11,0.01,0.05
6226,Syphon Filter: Dark Mirror,PS2,2007,Shooter,Sony Computer Entertainment,6226,6,nan,0.14,0.11,0,0.04
6227,Conflict: Desert Storm II - Back to Bagdhad,XB,2003,Shooter,SCi,6227,2,nan,0.21,0.06,0,0.01
6228,Guitar Hero Live,PS3,2015,Misc,Activision,6228,nan,nan,0.09,0.14,0,0.05
6229,Mission: Impossible - Operation Surma,PS2,2003,Platform,Atari,6229,nan,nan,0.14,0.11,0,0.04
6230,Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,6230,nan,3,0.27,0,0,0.02
6231,MLB 07: The Show,PSP,2007,Sports,Sony Computer Entertainment,6231,nan,nan,0.26,0,0,0.02
6232,Pitfall: The Mayan Adventure,GBA,2001,Platform,Interplay,6232,10,nan,0.2,0.07,0,0.01
6233,Driver: Parallel Lines,PS2,2006,Racing,Atari,6233,nan,nan,0.12,0.1,0.03,0.03
6234,Sing Party,WiiU,2012,Misc,Nintendo,6234,nan,nan,0.13,0.12,0,0.02
6235,Shrek: Ogres & Dronkeys,DS,2007,Simulation,Activision,6235,nan,nan,0.26,0,0,0.02
6236,Monopoly,DS,2010,Misc,Electronic Arts,6236,nan,nan,0.16,0.1,0,0.03
6237,Hot Wheels: Track Attack,DS,2010,Racing,THQ,6237,nan,nan,0.18,0.08,0,0.02
6238,Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,Eidos Interactive,6238,nan,10,0.14,0.11,0,0.04
6239,Virtua Fighter 5 Online,X360,2007,Fighting,Sega,6239,9,nan,0.2,0.03,0.03,0.02
6240,Disney's Treasure Planet,GBA,2002,Action,Ubisoft,6240,nan,nan,0.2,0.07,0,0.01
6241,Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,6241,nan,5,0.09,0.06,0.1,0.02
6242,Wild ARMs 5,PS2,2006,Role-Playing,505 Games,6242,8,1,0.14,0.11,0,0.04
6243,Bionic Commando,X360,2009,Platform,Capcom,6243,6,7,0.12,0.12,0.01,0.03
6244,NFL Blitz 20-02,PS2,2002,Sports,Midway Games,6244,nan,nan,0.14,0.11,0,0.04
6245,Mega Man 7,SNES,1995,Platform,Laguna,6245,nan,nan,0.03,0.01,0.23,0.01
6246,NCAA March Madness 2005,XB,2004,Sports,Electronic Arts,6246,nan,nan,0.21,0.06,0,0.01
6247,Shadows of the Damned,PS3,2011,Action,Electronic Arts,6247,nan,nan,0.11,0.09,0.04,0.04
6248,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,N/A,Action,Disney Interactive Studios,6248,6,nan,0.22,0.06,0,0.01
6249,NBA In The Zone,PS,1995,Sports,Konami Digital Entertainment,6249,10,nan,0.16,0.11,0,0.02
6250,Corvette,GBA,2003,Racing,TDK Mediactive,6250,nan,nan,0.2,0.07,0,0.01
6251,F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,6251,nan,nan,0,0,0.28,0
6252,Just Dance 2015,PS3,2014,Misc,Ubisoft,6252,nan,5,0.12,0.11,0,0.05
6253,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,THQ,6253,nan,nan,0.22,0.06,0,0.01
6254,Silent Hill 2: Restless Dreams,XB,2001,Action,Konami Digital Entertainment,6254,nan,nan,0.21,0.06,0,0.01
6255,Cabela's Big Game Hunter 2012,X360,2011,Sports,Activision,6255,4,nan,0.24,0.02,0,0.02
6256,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016,Action,Square Enix,6256,nan,nan,0,0,0.28,0
6257,Tribal Zombie - The Movie,nan,nan,nan,nan,6257,nan,nan,nan,nan,nan,nan
6258,Moshi Monsters: Moshlings Theme Park,3DS,2012,Misc,Activision,6258,nan,nan,0.13,0.13,0,0.03
6259,UEFA Euro 2016,PS4,2016,Sports,Konami Digital Entertainment,6259,nan,nan,0,0.21,0.03,0.03
6260,Soul Nomad & the World Eaters,PS2,2007,Role-Playing,Tecmo Koei,6260,nan,nan,0.14,0.11,0,0.04
6261,RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,6261,nan,6,0.01,0.22,0,0.05
6262,Bass Strike,PS2,2001,Sports,THQ,6262,2,nan,0.14,0.11,0,0.04
6263,NHL Hitz 20-03,PS2,2002,Sports,Midway Games,6263,nan,nan,0.14,0.11,0,0.04
6264,Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,6264,nan,nan,0.1,0.03,0.12,0.04
6265,Pac-Man Fever,GC,N/A,Misc,Unknown,6265,8,6,0.21,0.06,0,0.01
6266,Over the Hedge,DS,2006,Platform,Activision,6266,nan,nan,0.25,0.01,0,0.02
6267,Real Pool,PS2,2000,Sports,Midas Interactive Entertainment,6267,nan,nan,0.14,0.11,0,0.04
6268,iCarly 2: iJoin The Click!,DS,2010,Adventure,Activision,6268,nan,nan,0.26,0.01,0,0.02
6269,The Warriors,PSP,2007,Action,Take-Two Interactive,6269,nan,nan,0.23,0.02,0,0.03
6270,Mister Mosquito,PS2,2001,Shooter,Eidos Interactive,6270,2,nan,0.05,0.04,0.17,0.01
6271,Kakyuusei,SAT,1997,Strategy,Elf,6271,nan,nan,0,0,0.28,0
6272,Patapon 3,PSP,2011,Misc,Sony Computer Entertainment,6272,nan,nan,0.05,0.04,0.17,0.02
6273,Sesame Street: Cookie's Counting Carnival,DS,2010,Misc,Warner Bros. Interactive Entertainment,6273,nan,nan,0.26,0,0,0.02
6274,Civilization II,PS,1998,Strategy,Activision,6274,nan,nan,0.15,0.11,0,0.02
6275,Guitar Hero: Van Halen,PS3,2009,Misc,Activision,6275,nan,nan,0.14,0.09,0,0.04
6276,Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,6276,nan,nan,0,0,0.28,0
6277,Madagascar,XB,2005,Platform,Activision,6277,nan,nan,0.21,0.06,0,0.01
6278,Transformers: Cybertron Adventures,Wii,2010,Action,Activision,6278,nan,nan,0.15,0.1,0,0.03
6279,Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,6279,nan,nan,0.11,0.01,0,0.16
6280,F-1 Grand Prix,SNES,1992,Racing,Video System,6280,nan,0,0,0,0.28,0
6281,Mass Effect 3,WiiU,2012,Role-Playing,Electronic Arts,6281,nan,nan,0.14,0.11,0,0.02
6282,Pinkalicious,DS,2011,Misc,GameMill Entertainment,6282,nan,nan,0.26,0,0,0.02
6283,SimCity 2000,SAT,1994,Simulation,Sega,6283,6,nan,0,0,0.28,0
6284,Deer Hunter,PS2,2003,Sports,Atari,6284,nan,nan,0.14,0.11,0,0.04
6285,Pokemon Box: Ruby & Sapphire,GC,2003,Misc,Nintendo,6285,nan,nan,0,0,0.27,0.01
6286,Puyo Puyo! 15th Anniversary,DS,2006,Puzzle,Sega,6286,nan,nan,0,0,0.28,0
6287,Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998,Role-Playing,Konami Digital Entertainment,6287,nan,6,0,0,0.26,0.02
6288,FIFA Soccer 07,X360,2006,Sports,Electronic Arts,6288,nan,nan,0.24,0.01,0,0.02
6289,Mass Effect Trilogy,PC,2012,Action,Electronic Arts,6289,nan,nan,0.09,0.16,0,0.03
6290,Dave Mirra Freestyle BMX 2,GC,2001,Sports,Acclaim Entertainment,6290,nan,nan,0.21,0.06,0,0.01
6291,AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,6291,6,nan,0.25,0,0,0.02
6292,My Japanese Coach,DS,2008,Misc,Ubisoft,6292,nan,3,0.25,0,0,0.02
6293,Puppeteer,PS3,2013,Platform,Sony Computer Entertainment Europe,6293,nan,nan,0.11,0.1,0.02,0.04
6294,Warpath: Jurassic Park,PS,1998,Fighting,Electronic Arts,6294,nan,nan,0.15,0.1,0,0.02
6295,Tak and the Guardians of Gross,PS2,2008,Action,THQ,6295,nan,nan,0.14,0.11,0,0.04
6296,True Crime: New York City,XB,2005,Action,Activision,6296,nan,7,0.21,0.06,0,0.01
6297,Summer Heat Beach Volleyball,PS2,2003,Sports,Acclaim Entertainment,6297,nan,nan,0.14,0.11,0,0.04
6298,NCAA Basketball 09,PS2,2008,Sports,Electronic Arts,6298,nan,nan,0.14,0.11,0,0.04
6299,One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,2008,Adventure,Namco Bandai Games,6299,nan,nan,0,0.07,0.19,0.01
6300,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,THQ,6300,0,nan,0.22,0.04,0,0.02
6301,Dead Rising 2: Off the Record,X360,2011,Action,Capcom,6301,1,nan,0.17,0.09,0,0.02
6302,Power Pro Kun Pocket 3,GBA,2001,Sports,Konami Digital Entertainment,6302,nan,nan,0,0,0.27,0.01
6303,Myst III: Exile,PS2,2002,Adventure,Ubisoft,6303,nan,nan,0.14,0.11,0,0.04
6304,Castlevania: Aria of Sorrow,GBA,2003,Platform,Konami Digital Entertainment,6304,nan,nan,0.2,0.07,0,0
6305,NBA 2K12,PSP,2011,Sports,Take-Two Interactive,6305,nan,nan,0.22,0.03,0,0.03
6306,R.U.S.E.,PC,2010,Strategy,Ubisoft,6306,8,nan,0.04,0.19,0,0.05
6307,Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,6307,nan,nan,0,0,0.28,0
6308,Armored Core: Project Phantasma,PS,1997,Simulation,From Software,6308,nan,1,0.06,0.04,0.15,0.02
6309,Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000,Platform,Nintendo,6309,nan,nan,0,0,0.28,0
6310,Kobitodzukan: Kobito Kansatsu Set,3DS,2012,Misc,Nippon Columbia,6310,nan,nan,0,0,0.28,0
6311,ExciteBots: Trick Racing,Wii,2009,Racing,Nintendo,6311,nan,nan,0.26,0,0,0.02
6312,Pro Evolution Soccer 2013,PSP,2012,Sports,Konami Digital Entertainment,6312,nan,nan,0,0.07,0.18,0.03
6313,Deadpool,PS4,2015,Action,Activision,6313,8,nan,0.13,0.1,0,0.05
6314,Nichibutsu Arcade Classics,SNES,1995,Misc,Nichibutsu,6314,nan,3,0,0,0.28,0
6315,Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,6315,nan,nan,0.06,0,0.2,0.01
6316,Cabela's Trophy Bucks,PS2,2007,Sports,Activision Value,6316,nan,nan,0.13,0.11,0,0.04
6317,Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007,Misc,Nintendo,6317,nan,9,0,0,0.27,0
6318,Q-Ball: Billiards Master,PS2,2000,Sports,Take-Two Interactive,6318,nan,nan,0.13,0.1,0,0.04
6319,Mr. Do!,2600,1982,Action,Coleco,6319,nan,nan,0.26,0.02,0,0
6320,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,6320,nan,7,0.05,0.2,0,0.02
6321,Boogie,DS,2007,Misc,Electronic Arts,6321,nan,nan,0.25,0,0,0.02
6322,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,6322,nan,nan,0.21,0.06,0,0.01
6323,Rapala Pro Bass Fishing 2010,PS3,2010,Sports,Activision,6323,nan,nan,0.18,0.06,0,0.03
6324,Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996,Fighting,Tomy Corporation,6324,nan,7,0,0,0.26,0.02
6325,Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,6325,0,7,0.21,0.06,0,0.01
6326,The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,N/A,Action,N/A,6326,nan,nan,0,0,0.27,0.01
6327,Motocross Maniacs Advance,GBA,2002,Racing,Konami Digital Entertainment,6327,nan,nan,0.2,0.07,0,0
6328,Resident Evil 2: Dual Shock Edition,PS,1998,Action,Capcom,6328,nan,nan,0,0,0.26,0.02
6329,Guitar Chocobo For Kids,nan,nan,nan,nan,6329,nan,nan,nan,nan,nan,nan
6330,Dynasty Warriors,PS,1997,Action,Tecmo Koei,6330,0,nan,0.09,0.06,0.11,0.02
6331,M&M's Blast!,GBA,2001,Puzzle,Unknown,6331,nan,nan,0.2,0.07,0,0
6332,Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,6332,nan,7,0.14,0.11,0,0.03
6333,Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,6333,nan,nan,0.24,0.01,0,0.02
6334,Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,6334,nan,3,0,0,0.27,0
6335,Tiny Toon Adventures: Plucky's Big Adventure,PS,2001,Action,Conspiracy Entertainment,6335,nan,nan,0.15,0.1,0,0.02
6336,NHL Hitz 20-02,XB,2001,Sports,Midway Games,6336,nan,9,0.2,0.06,0,0.01
6337,Iron Man 2,X360,2010,Action,Sega,6337,nan,nan,0.15,0.1,0,0.03
6338,Indy 500,2600,N/A,Racing,Atari,6338,nan,nan,0.26,0.01,0,0
6339,Littlest Pet Shop: Beach Friends,DS,2009,Simulation,Electronic Arts,6339,nan,nan,0.25,0,0,0.02
6340,Trivial Pursuit,PS2,2009,Misc,Electronic Arts,6340,nan,nan,0.09,0.01,0,0.17
6341,Suikoden Tierkreis,DS,2008,Role-Playing,Konami Digital Entertainment,6341,nan,10,0.09,0.01,0.15,0.01
6342,Evil Dead: Hail to the King,PS,2000,Adventure,THQ,6342,nan,nan,0.15,0.1,0,0.02
6343,Dragon Ball GT: Final Bout,PS,1997,Fighting,Namco Bandai Games,6343,6,9,0.02,0.02,0.22,0.02
